ut_ms,description
1338225061000,"APOCENTRE_PASSAGE_10708"
1338226571000,"MLG_AOS_00_/_RTLT_01160"
1338227940000,"MLG_AOS_05_/_RTLT_01160"
1338229470000,"MLG_AOS_10_/_RTLT_01160"
1338234718000,"4000_KM_DESCEND"
1338235330000,"MAR_PENUMBRA_START"
1338235350000,"MAR_UMBRA_START"
1338236023000,"2000_KM_DESCEND"
1338236567000,"1200_KM_DESCEND"
1338236671000,"GDS_AOS_05_/_RTLT_01160"
1338236887000,"800_KM_DESCEND"
1338236908000,"MRB_/_RANGE_06000KM_START"
1338236966000,"GDS_AOS_06_/_RTLT_01161"
1338237057000,"OCC_MARS_200KM_START_/_RA_165.09_/_DE_007.65_/_OMP_(188.46,-58.93)_/_SZA_105"
1338237155000,"MAR_UMBRA_END"
1338237167000,"MAR_PENUMBRA_END"
1338237645000,"PERICENTRE_PASSAGE_10708_/_SSP_(289.11,-69.67)_/_SZA_093"
1338237685000,"OCC_MARS_200KM_END_/_RA_165.10_/_DE_007.65_/_OMP_(267.41,-57.46)_/_SZA_080"
1338238143000,"GDS_AOS_10_/_RTLT_01161"
1338238417000,"800_KM_ASCEND"
1338238733000,"1200_KM_ASCEND"
1338239272000,"2000_KM_ASCEND"
1338239881000,"MRB_/_RANGE_06000KM_END"
1338240568000,"4000_KM_ASCEND"
1338240918000,"KLZ_LOS_10_/_RTLT_01161"
1338240920000,"BLK_LOS_10_/_RTLT_01161"
1338243057000,"BLK_LOS_05_/_RTLT_01161"
1338243132000,"KLZ_LOS_05_/_RTLT_01161"
1338245224000,"BLK_LOS_00_/_RTLT_01161"
1338245381000,"KLZ_LOS_00_/_RTLT_01161"
1338250229000,"APOCENTRE_PASSAGE_10709"
1338251017000,"MAD_LOS_10_/_RTLT_01162"
1338251045000,"CEB_LOS_10_/_RTLT_01162"
1338251568000,"MAD_LOS_08_/_RTLT_01162"
1338252578000,"MRB_AOS_00"
1338252593000,"MAD_LOS_05_/_RTLT_01162"
1338252621000,"CEB_LOS_05_/_RTLT_01162"
1338253049000,"CEB_LOS_04_/_RTLT_01162"
1338255066000,"MRB_AOS_10"
1338259205000,"MRB_/_RANGE_06000KM_START"
1338259882000,"4000_KM_DESCEND"
1338260489000,"MAR_PENUMBRA_START"
1338260509000,"MAR_UMBRA_START"
1338261186000,"2000_KM_DESCEND"
1338261285000,"MRB_LOS_10"
1338261518000,"MRB_LOS_00"
1338261730000,"1200_KM_DESCEND"
1338261830000,"CAN_AOS_05_/_RTLT_01163"
1338262050000,"800_KM_DESCEND"
1338262215000,"OCC_MARS_200KM_START_/_RA_165.20_/_DE_007.60_/_OMP_(085.57,-58.61)_/_SZA_105"
1338262324000,"MAR_UMBRA_END"
1338262336000,"MAR_PENUMBRA_END"
1338262809000,"PERICENTRE_PASSAGE_10709_/_SSP_(186.84,-69.85)_/_SZA_093"
1338262850000,"OCC_MARS_200KM_END_/_RA_165.20_/_DE_007.60_/_OMP_(165.19,-57.50)_/_SZA_080"
1338262928000,"MRB_/_RANGE_06000KM_END"
1338263349000,"CAN_AOS_10_/_RTLT_01163"
1338263529000,"CAN_AOS_11_/_RTLT_01163"
1338263581000,"800_KM_ASCEND"
1338263892000,"MLG_LOS_10_/_RTLT_01163"
1338263897000,"1200_KM_ASCEND"
1338264436000,"2000_KM_ASCEND"
1338265421000,"MLG_LOS_05_/_RTLT_01163"
1338265732000,"4000_KM_ASCEND"
1338266250000,"MLG_LOS_02_/_RTLT_01163"
1338268086000,"NNO_AOS_00_/_RTLT_01163"
1338269410000,"NNO_AOS_05_/_RTLT_01163"
1338270848000,"NNO_AOS_10_/_RTLT_01164"
1338275394000,"APOCENTRE_PASSAGE_10710"
1338275579000,"MRB_AOS_00"
1338277940000,"GDS_LOS_10_/_RTLT_01164"
1338279117000,"GDS_LOS_06_/_RTLT_01164"
1338279412000,"GDS_LOS_05_/_RTLT_01164"
1338282832000,"KLZ_AOS_00_/_RTLT_01165"
1338282963000,"BLK_AOS_00_/_RTLT_01165"
1338283959000,"MRB_LOS_00"
1338285049000,"4000_KM_DESCEND"
1338285083000,"KLZ_AOS_05_/_RTLT_01165"
1338285132000,"BLK_AOS_05_/_RTLT_01165"
1338285652000,"MAR_PENUMBRA_START"
1338285672000,"MAR_UMBRA_START"
1338285904000,"MRB_/_RANGE_06000KM_START"
1338286354000,"2000_KM_DESCEND"
1338286898000,"1200_KM_DESCEND"
1338287217000,"800_KM_DESCEND"
1338287272000,"BLK_AOS_10_/_RTLT_01165"
1338287301000,"KLZ_AOS_10_/_RTLT_01165"
1338287376000,"OCC_MARS_200KM_START_/_RA_165.30_/_DE_007.55_/_OMP_(342.57,-58.23)_/_SZA_105"
1338287498000,"MAR_UMBRA_END"
1338287510000,"MAR_PENUMBRA_END"
1338287976000,"PERICENTRE_PASSAGE_10710_/_SSP_(084.53,-70.03)_/_SZA_094"
1338288021000,"OCC_MARS_200KM_END_/_RA_165.30_/_DE_007.55_/_OMP_(063.09,-57.48)_/_SZA_080"
1338288749000,"800_KM_ASCEND"
1338289065000,"1200_KM_ASCEND"
1338289173000,"MRB_/_RANGE_06000KM_END"
1338289604000,"2000_KM_ASCEND"
1338290900000,"4000_KM_ASCEND"
1338294897000,"CEB_AOS_02_/_RTLT_01166"
1338295806000,"MAD_AOS_05_/_RTLT_01166"
1338295833000,"CEB_AOS_05_/_RTLT_01166"
1338296122000,"MAD_AOS_06_/_RTLT_01166"
1338297383000,"MAD_AOS_10_/_RTLT_01166"
1338297411000,"CEB_AOS_10_/_RTLT_01166"
1338297868000,"CAN_LOS_10_/_RTLT_01166"
1338299086000,"CAN_LOS_06_/_RTLT_01166"
1338299389000,"CAN_LOS_05_/_RTLT_01166"
1338300560000,"APOCENTRE_PASSAGE_10711"
1338306081000,"NNO_LOS_10_/_RTLT_01167"
1338307520000,"NNO_LOS_05_/_RTLT_01167"
1338307906000,"NNO_LOS_04_/_RTLT_01167"
1338310214000,"4000_KM_DESCEND"
1338310811000,"MAR_PENUMBRA_START"
1338310831000,"MAR_UMBRA_START"
1338311518000,"2000_KM_DESCEND"
1338312062000,"1200_KM_DESCEND"
1338312382000,"800_KM_DESCEND"
1338312516000,"MRB_/_RANGE_06000KM_START"
1338312537000,"OCC_MARS_200KM_START_/_RA_165.40_/_DE_007.50_/_OMP_(239.93,-57.99)_/_SZA_105"
1338312666000,"MAR_UMBRA_END"
1338312678000,"MAR_PENUMBRA_END"
1338312784000,"MLG_AOS_00_/_RTLT_01167"
1338313141000,"PERICENTRE_PASSAGE_10711_/_SSP_(342.24,-70.19)_/_SZA_094"
1338313185000,"OCC_MARS_200KM_END_/_RA_165.40_/_DE_007.49_/_OMP_(320.68,-57.60)_/_SZA_080"
1338313734000,"MRB_AOS_00"
1338313852000,"MRB_AOS_10"
1338313913000,"800_KM_ASCEND"
1338314155000,"MLG_AOS_05_/_RTLT_01168"
1338314229000,"1200_KM_ASCEND"
1338314768000,"2000_KM_ASCEND"
1338315683000,"MLG_AOS_10_/_RTLT_01168"
1338316064000,"4000_KM_ASCEND"
1338316302000,"MRB_/_RANGE_06000KM_END"
1338317042000,"MRB_LOS_10"
1338318419000,"MRB_LOS_00"
1338322948000,"GDS_AOS_05_/_RTLT_01168"
1338323243000,"GDS_AOS_06_/_RTLT_01168"
1338324421000,"GDS_AOS_10_/_RTLT_01169"
1338325726000,"APOCENTRE_PASSAGE_10712"
1338327102000,"KLZ_LOS_10_/_RTLT_01169"
1338327107000,"BLK_LOS_10_/_RTLT_01169"
1338329243000,"BLK_LOS_05_/_RTLT_01169"
1338329316000,"KLZ_LOS_05_/_RTLT_01169"
1338331408000,"BLK_LOS_00_/_RTLT_01169"
1338331562000,"KLZ_LOS_00_/_RTLT_01169"
1338335380000,"4000_KM_DESCEND"
1338335974000,"MAR_PENUMBRA_START"
1338335993000,"MAR_UMBRA_START"
1338336670000,"MRB_/_RANGE_06000KM_START"
1338336685000,"2000_KM_DESCEND"
1338337228000,"MAD_LOS_10_/_RTLT_01170"
1338337229000,"1200_KM_DESCEND"
1338337255000,"CEB_LOS_10_/_RTLT_01170"
1338337548000,"800_KM_DESCEND"
1338337698000,"OCC_MARS_200KM_START_/_RA_165.50_/_DE_007.44_/_OMP_(137.06,-57.65)_/_SZA_106"
1338337780000,"MAD_LOS_08_/_RTLT_01170"
1338337838000,"MAR_UMBRA_END"
1338337850000,"MAR_PENUMBRA_END"
1338338307000,"PERICENTRE_PASSAGE_10712_/_SSP_(239.92,-70.36)_/_SZA_094"
1338338355000,"OCC_MARS_200KM_END_/_RA_165.51_/_DE_007.44_/_OMP_(218.52,-57.60)_/_SZA_080"
1338338805000,"MAD_LOS_05_/_RTLT_01170"
1338338833000,"CEB_LOS_05_/_RTLT_01170"
1338338973000,"MRB_/_RANGE_06000KM_END"
1338339080000,"800_KM_ASCEND"
1338339257000,"CEB_LOS_04_/_RTLT_01170"
1338339396000,"1200_KM_ASCEND"
1338339935000,"2000_KM_ASCEND"
1338341231000,"4000_KM_ASCEND"
1338348048000,"CAN_AOS_05_/_RTLT_01171"
1338349566000,"CAN_AOS_10_/_RTLT_01171"
1338349741000,"CAN_AOS_11_/_RTLT_01171"
1338350174000,"MLG_LOS_10_/_RTLT_01171"
1338350272000,"MRB_AOS_00"
1338350894000,"APOCENTRE_PASSAGE_10713"
1338351702000,"MLG_LOS_05_/_RTLT_01171"
1338352385000,"MRB_AOS_10"
1338352535000,"MLG_LOS_02_/_RTLT_01171"
1338354310000,"NNO_AOS_00_/_RTLT_01171"
1338355633000,"NNO_AOS_05_/_RTLT_01171"
1338357069000,"NNO_AOS_10_/_RTLT_01172"
1338359389000,"MRB_/_RANGE_06000KM_START"
1338360550000,"4000_KM_DESCEND"
1338361137000,"MAR_PENUMBRA_START"
1338361156000,"MAR_UMBRA_START"
1338361854000,"2000_KM_DESCEND"
1338362087000,"MRB_LOS_10"
1338362275000,"MRB_LOS_00"
1338362398000,"1200_KM_DESCEND"
1338362719000,"800_KM_DESCEND"
1338362865000,"OCC_MARS_200KM_START_/_RA_165.61_/_DE_007.39_/_OMP_(034.55,-57.45)_/_SZA_106"
1338363010000,"MAR_UMBRA_END"
1338363022000,"MAR_PENUMBRA_END"
1338363477000,"PERICENTRE_PASSAGE_10713_/_SSP_(137.58,-70.51)_/_SZA_094"
1338363522000,"OCC_MARS_200KM_END_/_RA_165.61_/_DE_007.39_/_OMP_(116.00,-57.76)_/_SZA_080"
1338363672000,"MRB_/_RANGE_06000KM_END"
1338364157000,"GDS_LOS_10_/_RTLT_01172"
1338364248000,"800_KM_ASCEND"
1338364565000,"1200_KM_ASCEND"
1338365104000,"2000_KM_ASCEND"
1338365335000,"GDS_LOS_06_/_RTLT_01172"
1338365629000,"GDS_LOS_05_/_RTLT_01172"
1338366400000,"4000_KM_ASCEND"
1338369147000,"KLZ_AOS_00_/_RTLT_01173"
1338369274000,"BLK_AOS_00_/_RTLT_01173"
1338371395000,"KLZ_AOS_05_/_RTLT_01173"
1338371442000,"BLK_AOS_05_/_RTLT_01173"
1338373581000,"BLK_AOS_10_/_RTLT_01173"
1338373612000,"KLZ_AOS_10_/_RTLT_01173"
1338376062000,"APOCENTRE_PASSAGE_10714"
1338381177000,"CEB_AOS_02_/_RTLT_01174"
1338382091000,"MAD_AOS_05_/_RTLT_01174"
1338382117000,"CEB_AOS_05_/_RTLT_01174"
1338382407000,"MAD_AOS_06_/_RTLT_01174"
1338383668000,"MAD_AOS_10_/_RTLT_01174"
1338383695000,"CEB_AOS_10_/_RTLT_01174"
1338384151000,"CAN_LOS_10_/_RTLT_01174"
1338385368000,"CAN_LOS_06_/_RTLT_01174"
1338385670000,"CAN_LOS_05_/_RTLT_01174"
1338385716000,"4000_KM_DESCEND"
1338386299000,"MAR_PENUMBRA_START"
1338386318000,"MAR_UMBRA_START"
1338387020000,"2000_KM_DESCEND"
1338387564000,"1200_KM_DESCEND"
1338387835000,"MRB_/_RANGE_06000KM_START"
1338387884000,"800_KM_DESCEND"
1338388025000,"OCC_MARS_200KM_START_/_RA_165.71_/_DE_007.34_/_OMP_(291.70,-57.10)_/_SZA_106"
1338388182000,"MAR_UMBRA_END"
1338388193000,"MAR_PENUMBRA_END"
1338388643000,"PERICENTRE_PASSAGE_10714_/_SSP_(035.27,-70.68)_/_SZA_094"
1338388690000,"OCC_MARS_200KM_END_/_RA_165.71_/_DE_007.34_/_OMP_(013.81,-57.78)_/_SZA_080"
1338389415000,"800_KM_ASCEND"
1338389731000,"1200_KM_ASCEND"
1338389852000,"MRB_AOS_00"
1338390270000,"2000_KM_ASCEND"
1338391475000,"MRB_/_RANGE_06000KM_END"
1338391566000,"4000_KM_ASCEND"
1338392357000,"NNO_LOS_10_/_RTLT_01175"
1338393264000,"MRB_LOS_00"
1338393794000,"NNO_LOS_05_/_RTLT_01175"
1338394175000,"NNO_LOS_04_/_RTLT_01175"
1338399001000,"MLG_AOS_00_/_RTLT_01175"
1338400373000,"MLG_AOS_05_/_RTLT_01175"
1338401230000,"APOCENTRE_PASSAGE_10715"
1338401899000,"MLG_AOS_10_/_RTLT_01176"
1338409228000,"GDS_AOS_05_/_RTLT_01176"
1338409522000,"GDS_AOS_06_/_RTLT_01176"
1338410699000,"GDS_AOS_10_/_RTLT_01176"
1338410887000,"4000_KM_DESCEND"
1338411464000,"MAR_PENUMBRA_START"
1338411483000,"MAR_UMBRA_START"
1338412191000,"2000_KM_DESCEND"
1338412735000,"1200_KM_DESCEND"
1338413055000,"800_KM_DESCEND"
1338413113000,"MRB_/_RANGE_06000KM_START"
1338413191000,"OCC_MARS_200KM_START_/_RA_165.81_/_DE_007.29_/_OMP_(188.98,-56.80)_/_SZA_106"
1338413284000,"KLZ_LOS_10_/_RTLT_01177"
1338413293000,"BLK_LOS_10_/_RTLT_01177"
1338413357000,"MAR_UMBRA_END"
1338413367000,"MAR_PENUMBRA_END"
1338413813000,"PERICENTRE_PASSAGE_10715_/_SSP_(292.96,-70.83)_/_SZA_094"
1338413862000,"OCC_MARS_200KM_END_/_RA_165.82_/_DE_007.29_/_OMP_(271.53,-57.83)_/_SZA_080"
1338414585000,"800_KM_ASCEND"
1338414902000,"1200_KM_ASCEND"
1338415428000,"BLK_LOS_05_/_RTLT_01177"
1338415441000,"2000_KM_ASCEND"
1338415498000,"KLZ_LOS_05_/_RTLT_01177"
1338416179000,"MRB_/_RANGE_06000KM_END"
1338416737000,"4000_KM_ASCEND"
1338417592000,"BLK_LOS_00_/_RTLT_01177"
1338417742000,"KLZ_LOS_00_/_RTLT_01177"
1338423444000,"MAD_LOS_10_/_RTLT_01178"
1338423471000,"CEB_LOS_10_/_RTLT_01178"
1338423998000,"MAD_LOS_08_/_RTLT_01178"
1338425019000,"MAD_LOS_05_/_RTLT_01178"
1338425047000,"CEB_LOS_05_/_RTLT_01178"
1338425470000,"CEB_LOS_04_/_RTLT_01178"
1338426397000,"APOCENTRE_PASSAGE_10716"
1338429481000,"MRB_AOS_00"
1338431981000,"MRB_AOS_10"
1338434265000,"CAN_AOS_05_/_RTLT_01179"
1338435513000,"MRB_/_RANGE_06000KM_START"
1338435782000,"CAN_AOS_10_/_RTLT_01179"
1338435942000,"CAN_AOS_11_/_RTLT_01179"
1338436050000,"4000_KM_DESCEND"
1338436458000,"MLG_LOS_10_/_RTLT_01179"
1338436624000,"MAR_PENUMBRA_START"
1338436643000,"MAR_UMBRA_START"
1338437354000,"2000_KM_DESCEND"
1338437384000,"MRB_LOS_10"
1338437650000,"MRB_LOS_00"
1338437898000,"1200_KM_DESCEND"
1338437984000,"MLG_LOS_05_/_RTLT_01179"
1338438218000,"800_KM_DESCEND"
1338438349000,"OCC_MARS_200KM_START_/_RA_165.92_/_DE_007.24_/_OMP_(086.15,-56.43)_/_SZA_107"
1338438526000,"MAR_UMBRA_END"
1338438536000,"MAR_PENUMBRA_END"
1338438821000,"MLG_LOS_02_/_RTLT_01179"
1338438977000,"PERICENTRE_PASSAGE_10716_/_SSP_(190.67,-71.01)_/_SZA_094"
1338439028000,"OCC_MARS_200KM_END_/_RA_165.92_/_DE_007.24_/_OMP_(169.33,-57.86)_/_SZA_080"
1338439123000,"MRB_/_RANGE_06000KM_END"
1338439749000,"800_KM_ASCEND"
1338440066000,"1200_KM_ASCEND"
1338440533000,"NNO_AOS_00_/_RTLT_01179"
1338440604000,"2000_KM_ASCEND"
1338441854000,"NNO_AOS_05_/_RTLT_01179"
1338441901000,"4000_KM_ASCEND"
1338443290000,"NNO_AOS_10_/_RTLT_01179"
